期货代码,期货名称,secid,归属交易所
ni2401,沪镍2401,113.ni2401,上期所
ni2309,沪镍2309,113.ni2309,上期所
nim,沪镍主连,113.nim,上期所
ni2307,沪镍2307,113.ni2307,上期所
sn2403,沪锡2403,113.sn2403,上期所
jd2307,鸡蛋2307,114.jd2307,大商所
nis,沪镍次主连,113.nis,上期所
ni2308,沪镍2308,113.ni2308,上期所
SR307,白糖307,115.SR307,郑商所
SR311,白糖311,115.SR311,郑商所
m2307,豆粕2307,114.m2307,大商所
SR405,白糖405,115.SR405,郑商所
SRM,白糖主连,115.SRM,郑商所
SR309,白糖309,115.SR309,郑商所
sn2401,沪锡2401,113.sn2401,上期所
SR403,白糖403,115.SR403,郑商所
b2406,豆二2406,114.b2406,大商所
SRS,白糖次主连,115.SRS,郑商所
SR401,白糖401,115.SR401,郑商所
fu2308,燃油2308,113.fu2308,上期所
CY307,棉纱307,115.CY307,郑商所
